country,HDI,GHS,freedom,political_stability,happiness,total_vax_per_hundred,total_cases_per_mil,total_deaths_per_mil
Palestine,0.715,,,,4.517,64.44,89580.227,939.224
Panama,0.805,53.5,8.12,0.29,6.18,140.49,111383.433,1684.215
Papua New Guinea,0.558,25,7.17,-0.58,,4.97,3564.955,58.17
Paraguay,0.717,40.3,7.54,0,5.653,100.78,68738.907,2451.648
Peru,0.762,54.9,7.93,-0.41,5.84,150.06,67181.253,5949.676
Philippines,0.699,45.7,6.83,-0.93,5.88,93.92,24584.998,444.561
Poland,0.876,55.7,7.96,0.51,6.166,117.89,103098.23,2435.147
Portugal,0.866,54.7,8.69,0.95,5.929,194.34,132070.771,1843.76
Qatar,0.855,48.7,6.15,0.96,,193.15,92680.838,228.931
Romania,0.821,45.7,8.33,0.53,6.14,80.5,91927.269,2986.581
Russia,0.822,49.1,6.23,-0.65,5.477,101.14,72557.126,2134.289
Rwanda,0.534,33.1,6.36,0.17,3.415,91.38,8024.998,97.919
Saint Kitts and Nevis,0.777,31.7,,0.96,,115.07,61198.381,587.236
Saint Lucia,0.715,34.7,,0.85,,58.37,74903.265,1640.055
Saint Vincent and the Grenadines,0.751,33.5,,1.04,,58.87,57253.34,798.392
Samoa,0.707,28.8,,1.11,,118.35,8.993,
San Marino,0.853,32.9,,0.91,,160.11,244909.469,2938.557
Sao Tome and Principe,0.618,26.6,,0.6,,60.52,17049.777,250.667
Saudi Arabia,0.875,44.9,5.12,-0.58,6.494,139.79,15255.011,243.76
Senegal,0.511,32.8,7.07,-0.17,5.132,10.99,4323.634,109.145
Serbia,0.802,45,7.54,-0.13,6.078,119.91,188770.738,1846.455
Seychelles,0.785,31.8,7.84,0.76,,171.25,231371.634,1176.086
Sierra Leone,0.477,32.7,6.7,-0.16,3.849,10.09,811.437,14.293
Singapore,0.939,57.4,7.98,1.49,6.377,209.25,49505.04,146.709
Slovakia,0.848,54.4,8.21,0.56,6.331,88.61,149152.071,2947.662
Slovenia,0.918,67.8,8.37,0.76,6.461,130.29,218941.214,2891.252
Solomon Islands,0.564,23.3,,0.49,,32.57,33.137,
South Africa,0.713,45.8,7.3,-0.71,4.956,46.59,57543.972,1520.372
South Korea,0.925,65.4,8.39,0.66,5.845,200.63,12174.566,107.361
South Sudan,0.385,21.3,,-2.3,,2.46,1431.848,12.462
Spain,0.905,60.9,8.56,0.58,6.491,175.64,136797.48,1927.894
Sri Lanka,0.782,34.1,6.58,-0.32,4.325,155.01,26898.175,686.098
Sudan,0.508,28.3,4.48,-1.94,,6.99,998.95,71.191
Suriname,0.73,35,7.64,0.37,,79.25,84186.29,1923.805
Sweden,0.947,64.9,8.83,1.03,7.363,167,124623.804,1453.644
Switzerland,0.962,58.8,9.11,1.13,7.571,158.42,152718.543,1363.885
Syria,0.577,16.7,3.66,-2.66,,7.93,2270.845,130.756
Tajikistan,0.685,29.3,5.52,-0.61,5.466,66.37,1757.598,12.559
Tanzania,0.549,31.3,6.48,-0.44,3.623,3.71,447.435,11.252
Thailand,0.8,68.2,6.89,-0.55,5.985,146.67,31011.538,302.635
Timor-Leste,0.607,27.8,7.22,0.17,,,14789.405,90.957
Togo,0.539,27.8,6.5,-0.8,4.107,27.28,3408.749,28.027
Tonga,0.745,26.4,,1.07,,121.87,9.357,
Trinidad and Tobago,0.81,36.8,7.7,0.15,,91.99,59324.918,1845.147
Tunisia,0.731,31.5,6.46,-0.7,4.596,98.39,58743.54,2068.935
Turkey,0.838,50,5.79,-1.1,4.948,154.26,110635.41,962.067
Turkmenistan,0.745,31.9,,-0.32,5.066,0.8,,
Tuvalu,0.641,20,,1.28,,106.87,,
Uganda,0.525,36.5,6.32,-0.86,4.636,20.66,3019.518,69.778
Ukraine,0.773,38.9,6.86,-1.1,4.875,71.68,92380.048,2415.486
United Arab Emirates,0.911,39.6,6.06,0.65,6.561,237.33,80446.976,228.998
United Kingdom,0.929,67.2,8.75,0.54,7.064,197.47,199109.448,2220.847
United States of America,0.921,75.9,8.73,0,6.951,157.08,158249.753,2421.163
Uruguay,0.809,40.3,8.36,1.05,6.431,203.91,119875.973,1802.036
Uzbekistan,0.727,39,,-0.24,6.179,112.73,5744.052,42.885
Vanuatu,0.607,25.9,,0.79,,46.74,21.423,
Venezuela,0.691,20.9,4.03,-1.53,4.892,106.18,15694.676,188.01
Vietnam,0.703,42.9,5.9,-0.11,5.411,153.72,17464.069,327.62
Yemen,0.455,16.1,4.08,-2.59,3.658,1.62,300.505,58.878
Zambia,0.565,26.5,6.82,0.06,4.073,8.64,12448.652,186.335
Zimbabwe,0.593,32.4,5.6,-1.03,3.145,44.51,12973.101,306.179
